nom,adresse_complete,type,prix,prix_min_eur,prix_max_eur,prix_moyen_eur,budget_meteo,note_google,avis_google,description_courte,statut,saisonnier,acces,lat,lng,inclure_app,niveau_fiabilite,doublon_nom_potentiel,doublon_rang,avec_solo,avec_duo,avec_potos,avec_pro,pour_tranquillo,pour_allocco,pour_resto,pour_gastro,pour_incognito,pour_apero,pour_eau,pour_nocturne,pour_disco,pour_guinguette,pour_terrasse_hiver,pour_street_food,meteo_pluie,meteo_nuageux,meteo_grand_soleil,source_base,date_traitement_gpt,verification_gpt,notes_gpt,image_url_originale,nom_original,rating_original,reviews_original,prix_original,type_original,raw_WkIe8 src,raw_fontHeadlineSmall,raw_MW4etd,raw_UY7F9,raw_IIrLbb,raw_IIrLbb 2,raw_ZiUbcb,raw_bYkqId,raw_wNNZR,raw_IM91Ib
Restaurant hotel Chouchou,,Restaurant,20–30 €,20,30,25.0,nuageux,4.3,950,"Restaurant, note 4.3/5, 950 avis, prix 20–30 €",ouvert_probable,non renseigne,public,,,1,haute,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHIILxeUxaD42UzPH9GtXRuy33ZhGuUf9q8-BeUxy429uDex6JuYwZextdPS2OKbObtB7ez38vsJYXFbJV87Nt_wB5sUrWRUKJCIP7GVaE6acoMph0Lw0kwazUyqTXtYjaH-WK-2w=w122-h92-k-no,Restaurant hotel Chouchou,"4,3",(950),20–30 €,Restaurant,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHIILxeUxaD42UzPH9GtXRuy33ZhGuUf9q8-BeUxy429uDex6JuYwZextdPS2OKbObtB7ez38vsJYXFbJV87Nt_wB5sUrWRUKJCIP7GVaE6acoMph0Lw0kwazUyqTXtYjaH-WK-2w=w122-h92-k-no,Restaurant hotel Chouchou,"4,3",(950),20–30 €,Restaurant,·,,Note,Ajouter une note
Bar Lumen,,Bar à cocktails,10–20 €,10,20,15.0,pluie,4.6,43,"Bar à cocktails, note 4.6/5, 43 avis, prix 10–20 €",ouvert_probable,non renseigne,public,,,1,basse_a_verifier,0,,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFAX6JEMC82yY3asRjlyV1HZBV0oRxrjubs96IlgcNucrKE1Zi5ke9M6Uz4ZB3kW2-QIOLItE0c7f7p7jtyyZOISSkMUziq8xez7ywcizAdqzXPi5DqHx9K_1UJCLWBd5TH-76m7iLaHqk=w140-h92-k-no,Bar Lumen,"4,6",(43),10–20 €,Bar à cocktails,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFAX6JEMC82yY3asRjlyV1HZBV0oRxrjubs96IlgcNucrKE1Zi5ke9M6Uz4ZB3kW2-QIOLItE0c7f7p7jtyyZOISSkMUziq8xez7ywcizAdqzXPi5DqHx9K_1UJCLWBd5TH-76m7iLaHqk=w140-h92-k-no,Bar Lumen,"4,6",(43),10–20 €,Bar à cocktails,·,,,
No Scrum No Win - Bar Rugby,,Bar sportif,20–30 €,20,30,25.0,nuageux,4.7,490,"Bar sportif, note 4.7/5, 490 avis, prix 20–30 €",ouvert_probable,non renseigne,public,,,1,moyenne,0,,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHWQhroPbicUAkaM6e_rRfKqgMj3TjLiOrurjfwmMKQ0Rs_X_zld9tbwD90yFQjSCgDP3yj_fUPG9LqYzbh8gRMAWjuPMb_x3jIupCYWKamK-1S047M-rpcldckNukL6fga7uy-RjaiHi4=w138-h92-k-no,No Scrum No Win - Bar Rugby,"4,7",(490),20–30 €,Bar sportif,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHWQhroPbicUAkaM6e_rRfKqgMj3TjLiOrurjfwmMKQ0Rs_X_zld9tbwD90yFQjSCgDP3yj_fUPG9LqYzbh8gRMAWjuPMb_x3jIupCYWKamK-1S047M-rpcldckNukL6fga7uy-RjaiHi4=w138-h92-k-no,No Scrum No Win - Bar Rugby,"4,7",(490),20–30 €,Bar sportif,·,,,
SOKCHO 牛者,,Restaurant japonais de viandes grillées,40–80 €,40,80,60.0,grand soleil,4.6,1794,"Restaurant japonais de viandes grillées, note 4.6/5, 1794 avis, prix 40–80 €",ouvert_probable,non renseigne,sur reservation conseillee,,,1,haute,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE39qRLRBiVAzfg9b1PIekBHPk0VYqvpqifQ0TZI4SF253d36NtSFa82m7ovo0I1SBHSqrxLJ7voP33107b1RBwTcxhSLAqqJ-GpxNoQ-m_SrrrRGb51Q87hSZt-g5MUaCAC5BduCnG_CZG=w138-h92-k-no,SOKCHO 牛者,"4,6",(1 794),40–80 €,Restaurant japonais de viandes grillées,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE39qRLRBiVAzfg9b1PIekBHPk0VYqvpqifQ0TZI4SF253d36NtSFa82m7ovo0I1SBHSqrxLJ7voP33107b1RBwTcxhSLAqqJ-GpxNoQ-m_SrrrRGb51Q87hSZt-g5MUaCAC5BduCnG_CZG=w138-h92-k-no,SOKCHO 牛者,"4,6",(1 794),40–80 €,Restaurant japonais de viandes grillées,·,,Note,Ajouter une note
Partisan Café Artisanal,,Café,1–10 €,1,10,5.5,pluie,4.3,1815,"Café, note 4.3/5, 1815 avis, prix 1–10 €",ouvert_probable,non renseigne,public,,,1,haute,0,,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFr6p4udu9I_97xeniynOT_hfhVOMX05aGUWwDqRAZGSnkVXyoluitwhmae1jg-x6iyhhh9ZrRC-ta04sbkqfl5mXo1FC31jpS-wGS7uW0GF7jSpJGLjKxvCUj9YHkIKE5dneZMfw=w133-h92-k-no,Partisan Café Artisanal,"4,3",(1 815),1–10 €,Café,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFr6p4udu9I_97xeniynOT_hfhVOMX05aGUWwDqRAZGSnkVXyoluitwhmae1jg-x6iyhhh9ZrRC-ta04sbkqfl5mXo1FC31jpS-wGS7uW0GF7jSpJGLjKxvCUj9YHkIKE5dneZMfw=w133-h92-k-no,Partisan Café Artisanal,"4,3",(1 815),1–10 €,Café,·,,,
Express de Lyon,,Brasserie,10–20 €,10,20,15.0,pluie,4.5,1581,"Brasserie, note 4.5/5, 1581 avis, prix 10–20 €",ouvert_probable,non renseigne,public,,,1,haute,0,,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFZqbRqbmUMBsHzMDlcxw12K_NPAab0RgZ5NtfkfASnhLE3u0GWSYyxT3D0j_iK_ACHA2-DStOGmwuD-HeCsH-UzA1VDzjjrEs99_-kL05JHlhVT3A6r9tA4mhz39ISOjO-hL05=w122-h92-k-no,Express de Lyon,"4,5",(1 581),10–20 €,Brasserie,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFZqbRqbmUMBsHzMDlcxw12K_NPAab0RgZ5NtfkfASnhLE3u0GWSYyxT3D0j_iK_ACHA2-DStOGmwuD-HeCsH-UzA1VDzjjrEs99_-kL05JHlhVT3A6r9tA4mhz39ISOjO-hL05=w122-h92-k-no,Express de Lyon,"4,5",(1 581),10–20 €,Brasserie,·,,,
DAROCO 16,,,,,,,inconnu,4.2,1515,"note 4.2/5, 1515 avis",ouvert_probable,non renseigne,public,,,1,moyenne,0,,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,prix_moyen_absent_dans_export ; adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFcvCLtbiP_-vvaY8G9W_Oi7lSU3zST5hVmWohL-CytCIQTZt8GxoZ634kywSVTimJdMBqFsAwz7G6W5c-a8fcMgoaYwKQEFK7WJ0lMVYIQbuvuT1-2JcLiHDRoLq03GBPVsp5a=w139-h92-k-no,DAROCO 16,"4,2",(1 515),,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFcvCLtbiP_-vvaY8G9W_Oi7lSU3zST5hVmWohL-CytCIQTZt8GxoZ634kywSVTimJdMBqFsAwz7G6W5c-a8fcMgoaYwKQEFK7WJ0lMVYIQbuvuT1-2JcLiHDRoLq03GBPVsp5a=w139-h92-k-no,DAROCO 16,"4,2",(1 515),,,,,Note,Ajouter une note
Eunoé,,Restaurant,30–80 €,30,80,55.0,grand soleil,4.8,916,"Restaurant, note 4.8/5, 916 avis, prix 30–80 €",ouvert_probable,non renseigne,sur reservation conseillee,,,1,haute,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFVy0LO7oWXNylFJLuoO2Rk_DGKZZ1P19MX9-bTSp4I43k1mPbGYtrYNmMhufMEPqZikX3ffIJ0PlktNvm4BjS9SY2AaluH_-8ntSVAejinUdAQdFzhg9DE2bxsXhQ1eRdKyv8=w137-h92-k-no,Eunoé,"4,8",(916),30–80 €,Restaurant,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFVy0LO7oWXNylFJLuoO2Rk_DGKZZ1P19MX9-bTSp4I43k1mPbGYtrYNmMhufMEPqZikX3ffIJ0PlktNvm4BjS9SY2AaluH_-8ntSVAejinUdAQdFzhg9DE2bxsXhQ1eRdKyv8=w137-h92-k-no,Eunoé,"4,8",(916),30–80 €,Restaurant,·,,Note,Ajouter une note
Sevenly Heart,,Café,10–20 €,10,20,15.0,pluie,3.9,1054,"Café, note 3.9/5, 1054 avis, prix 10–20 €",ouvert_probable,non renseigne,public,,,1,haute,0,,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF1NxpocC_n5Vz07fIdo36UtTK1HldzxvbPLYjcjcUdPdCJ9kBobIGhhl6Zfg6BmBMXY4Nl_8X5FthTfzZxOdyFzls2l_zwgM7xAaV7xp7U1HYFp6scJH0YTSnvBomn0zedwOVU=w80-h100-k-no,Sevenly Heart,"3,9",(1 054),10–20 €,Café,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF1NxpocC_n5Vz07fIdo36UtTK1HldzxvbPLYjcjcUdPdCJ9kBobIGhhl6Zfg6BmBMXY4Nl_8X5FthTfzZxOdyFzls2l_zwgM7xAaV7xp7U1HYFp6scJH0YTSnvBomn0zedwOVU=w80-h100-k-no,Sevenly Heart,"3,9",(1 054),10–20 €,Café,·,,Note,Ajouter une note
Café des Arts et Métiers,,Restaurant,10–40 €,10,40,25.0,nuageux,3.6,2196,"Restaurant, note 3.6/5, 2196 avis, prix 10–40 €",ouvert_probable,non renseigne,public,,,0,exclu_qualite_ou_donnees_insuffisantes,0,,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEnxaq9eyXuuKg8ABKo5ViSDn3iQI5RBBTl3dGfKe_V5w7O59pGvZV3b8wr5hzMezBVXWt2VSKqHInsEOtT8FTkzjLYC11y-OcT5ZVcLwp3TM7_Pn3Y1CJpk1lx38uZUEKFxO2CnA=w92-h92-k-no,Café des Arts et Métiers,"3,6",(2 196),10–40 €,Restaurant,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEnxaq9eyXuuKg8ABKo5ViSDn3iQI5RBBTl3dGfKe_V5w7O59pGvZV3b8wr5hzMezBVXWt2VSKqHInsEOtT8FTkzjLYC11y-OcT5ZVcLwp3TM7_Pn3Y1CJpk1lx38uZUEKFxO2CnA=w92-h92-k-no,Café des Arts et Métiers,"3,6",(2 196),10–40 €,Restaurant,·,,,
