nom,adresse_complete,type,prix,prix_min_eur,prix_max_eur,prix_moyen_eur,budget_meteo,note_google,avis_google,description_courte,statut,saisonnier,acces,lat,lng,inclure_app,niveau_fiabilite,doublon_nom_potentiel,doublon_rang,avec_solo,avec_duo,avec_potos,avec_pro,pour_tranquillo,pour_allocco,pour_resto,pour_gastro,pour_incognito,pour_apero,pour_eau,pour_nocturne,pour_disco,pour_guinguette,pour_terrasse_hiver,pour_street_food,meteo_pluie,meteo_nuageux,meteo_grand_soleil,source_base,date_traitement_gpt,verification_gpt,notes_gpt,image_url_originale,nom_original,rating_original,reviews_original,prix_original,type_original,raw_WkIe8 src,raw_fontHeadlineSmall,raw_MW4etd,raw_UY7F9,raw_IIrLbb,raw_IIrLbb 2,raw_ZiUbcb
DADOU Restaurant,,,,,,,inconnu,4.8,499,"note 4.8/5, 499 avis",ouvert_probable,non renseigne,public,,,1,moyenne,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,prix_moyen_absent_dans_export ; adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFQ8rA5ffQ9FNsCPJnNAylKJ2OyikSU_T3nqwWLxPDdBqLnKrOixYdURXWV0fRI1Eoz95LykLQ0qzmOKZ6BTk8HxWnBIIO3S5evzvS5I66d0gLkBxEAf6hhieik-NWKZT3OsaXvkg=w80-h106-k-no,DADOU Restaurant,"4,8",(499),,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFQ8rA5ffQ9FNsCPJnNAylKJ2OyikSU_T3nqwWLxPDdBqLnKrOixYdURXWV0fRI1Eoz95LykLQ0qzmOKZ6BTk8HxWnBIIO3S5evzvS5I66d0gLkBxEAf6hhieik-NWKZT3OsaXvkg=w80-h106-k-no,DADOU Restaurant,"4,8",(499),,,
NOORI,,Japonaise,10–20 €,10,20,15.0,pluie,4.8,5698,"Japonaise, note 4.8/5, 5698 avis, prix 10–20 €",ouvert_probable,non renseigne,public,,,1,haute,0,,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFYqwHjHu0M3RhtV_QM8ZppzFRhjyMm4nf4T6UM9wttSpOuySf3Yd2UHxbsqWiGYircSf6lsyaOxqfUIZfWPvaGt690zS6N5tnZL0CFiLNoXwvnd7pwiAKwHpcwuPrxsmnBpNdw=w163-h92-k-no,NOORI,"4,8",(5 698),10–20 €,Japonaise,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFYqwHjHu0M3RhtV_QM8ZppzFRhjyMm4nf4T6UM9wttSpOuySf3Yd2UHxbsqWiGYircSf6lsyaOxqfUIZfWPvaGt690zS6N5tnZL0CFiLNoXwvnd7pwiAKwHpcwuPrxsmnBpNdw=w163-h92-k-no,NOORI,"4,8",(5 698),10–20 €,Japonaise,·
Le Villaret,,Restaurant,+ de 100 €,100,,100,grand soleil,4.5,427,"Restaurant, note 4.5/5, 427 avis, prix + de 100 €",ouvert_probable,non renseigne,sur reservation conseillee,,,1,moyenne,0,,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFfmlEjLamgfGnjrr5LxsStqqC0pG1GKLgFXk1Yxl1654bOn-nvvD_BYmKgXcN411WlvQG1EWfzpaYWZlNqQSF6C9lWF0qGEFMG3tRNihHT7EciZ1cLs7nS0EP2xp4pQJQqpMoj=w154-h92-k-no,Le Villaret,"4,5",(427),+ de 100 €,Restaurant,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFfmlEjLamgfGnjrr5LxsStqqC0pG1GKLgFXk1Yxl1654bOn-nvvD_BYmKgXcN411WlvQG1EWfzpaYWZlNqQSF6C9lWF0qGEFMG3tRNihHT7EciZ1cLs7nS0EP2xp4pQJQqpMoj=w154-h92-k-no,Le Villaret,"4,5",(427),+ de 100 €,Restaurant,·
Freddy's,,Tapas,20–60 €,20,60,40.0,nuageux,4.6,1725,"Tapas, note 4.6/5, 1725 avis, prix 20–60 €",ouvert_probable,non renseigne,public,,,1,haute,0,,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGVaBSGl7R8cCiLRUHmG21OmbGyUzHSESYFNs3oVxih-UFQQDHA9crmXNg8059JpbZSInD8UeCrOiLWiIx4FyldFV8VCzDrbClE16rTbjk3dTQodAk1LmJGq00gY9xfE92L2UcP=w80-h106-k-no,Freddy's,"4,6",(1 725),20–60 €,Tapas,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGVaBSGl7R8cCiLRUHmG21OmbGyUzHSESYFNs3oVxih-UFQQDHA9crmXNg8059JpbZSInD8UeCrOiLWiIx4FyldFV8VCzDrbClE16rTbjk3dTQodAk1LmJGq00gY9xfE92L2UcP=w80-h106-k-no,Freddy's,"4,6",(1 725),20–60 €,Tapas,·
On the Bab,,Coréenne,20–30 €,20,30,25.0,nuageux,4.4,3164,"Coréenne, note 4.4/5, 3164 avis, prix 20–30 €",ouvert_probable,non renseigne,public,,,1,haute,0,,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAESxkds_LjBc0jTs0Ju4P7-CKwrvfXwncHxxKpVqxS3WN32v11VK4OSTUP81EhKYuwaEPCyIe9YPTVQ5WTq0lrm59BGTrjZAIXqqnoLudRg0Kjl7fhOrohDSDlUjR9DATrrLb8SMQ=w80-h119-k-no,On the Bab,"4,4",(3 164),20–30 €,Coréenne,https://lh3.googleusercontent.com/gps-cs-s/APNQkAESxkds_LjBc0jTs0Ju4P7-CKwrvfXwncHxxKpVqxS3WN32v11VK4OSTUP81EhKYuwaEPCyIe9YPTVQ5WTq0lrm59BGTrjZAIXqqnoLudRg0Kjl7fhOrohDSDlUjR9DATrrLb8SMQ=w80-h119-k-no,On the Bab,"4,4",(3 164),20–30 €,Coréenne,·
Le Monteverdi,,Italienne,30–70 €,30,70,50.0,nuageux,4.5,2048,"Italienne, note 4.5/5, 2048 avis, prix 30–70 €",ouvert_probable,non renseigne,sur reservation conseillee,,,1,haute,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEiwhi6R9r0tpHRUu3vpVSu3KJNBkngaYK-aj9g_9c9GqqzcHsNrKV4NVURh58bJMRwr_0-eL6qbLtE6OGm39DtPyKV9BjRomQg5NSNh3GZ2ie1mqqKbSxg5LOwDEI5jtDTHbQy=w163-h92-k-no,Le Monteverdi,"4,5",(2 048),30–70 €,Italienne,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEiwhi6R9r0tpHRUu3vpVSu3KJNBkngaYK-aj9g_9c9GqqzcHsNrKV4NVURh58bJMRwr_0-eL6qbLtE6OGm39DtPyKV9BjRomQg5NSNh3GZ2ie1mqqKbSxg5LOwDEI5jtDTHbQy=w163-h92-k-no,Le Monteverdi,"4,5",(2 048),30–70 €,Italienne,·
Au P'tit Zinc,,Restaurant,20–30 €,20,30,25.0,nuageux,4.6,845,"Restaurant, note 4.6/5, 845 avis, prix 20–30 €",ouvert_probable,non renseigne,public,,,1,haute,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHIL0NsEgtIxvd7jZ9NYHZx7POD4-HwkpNNUpyKcLU8MPMN7fkyYoEMPmRNBMuN317F5lNb2HgdA2czvDnbjipirUV24_2iiYUN7LPqjW0U75gaUVKD2TW21BBjkF_pf6Vd8USA=w199-h92-k-no,Au P'tit Zinc,"4,6",(845),20–30 €,Restaurant,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHIL0NsEgtIxvd7jZ9NYHZx7POD4-HwkpNNUpyKcLU8MPMN7fkyYoEMPmRNBMuN317F5lNb2HgdA2czvDnbjipirUV24_2iiYUN7LPqjW0U75gaUVKD2TW21BBjkF_pf6Vd8USA=w199-h92-k-no,Au P'tit Zinc,"4,6",(845),20–30 €,Restaurant,·
B.O.U.L.O.M,,Française,50–60 €,50,60,55.0,grand soleil,4.4,4624,"Française, note 4.4/5, 4624 avis, prix 50–60 €",ouvert_probable,non renseigne,sur reservation conseillee,,,1,haute,0,,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEEHznUwwx8kxhHUC7P4Jm1RNhXACbm0mrKsEnNnBQhihAYfQI4-xaNUoUMa5wcGgq20AEOn-OL0oLdxKgI-6yjKNP0E_69MJYu_-IjQJ_0IDS5XxD7LWwiK0TfXhwVsBJSySwcZg=w131-h92-k-no,B.O.U.L.O.M,"4,4",(4 624),50–60 €,Française,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEEHznUwwx8kxhHUC7P4Jm1RNhXACbm0mrKsEnNnBQhihAYfQI4-xaNUoUMa5wcGgq20AEOn-OL0oLdxKgI-6yjKNP0E_69MJYu_-IjQJ_0IDS5XxD7LWwiK0TfXhwVsBJSySwcZg=w131-h92-k-no,B.O.U.L.O.M,"4,4",(4 624),50–60 €,Française,·
Chez Ginette,,Restaurant,20–30 €,20,30,25.0,nuageux,4.5,1079,"Restaurant, note 4.5/5, 1079 avis, prix 20–30 €",ouvert_probable,non renseigne,public,,,1,haute,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEwYq3eLGr-rxbWup-bjtLcRhor6Lxg6eD9glfnNFPJLOYGW2UEZYeZkFTfJ1LhB9O9AX2Mz9jl1oL3Mcjy4SmmbrDGvbgXgHv-XhtTTIkudirg9DzTD69UwDNNJ9e207pqJHDA=w171-h92-k-no,Chez Ginette,"4,5",(1 079),20–30 €,Restaurant,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEwYq3eLGr-rxbWup-bjtLcRhor6Lxg6eD9glfnNFPJLOYGW2UEZYeZkFTfJ1LhB9O9AX2Mz9jl1oL3Mcjy4SmmbrDGvbgXgHv-XhtTTIkudirg9DzTD69UwDNNJ9e207pqJHDA=w171-h92-k-no,Chez Ginette,"4,5",(1 079),20–30 €,Restaurant,·
Peppe Pizzeria Martyrs,,Pizza,20–30 €,20,30,25.0,nuageux,4.8,17823,"Pizza, note 4.8/5, 17823 avis, prix 20–30 €",ouvert_probable,non renseigne,public,,,1,haute,0,,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGlIq5qEi02_GeKBUuX5w2ti4Uek7vh3bXLY3sdaU0FZMPS64cnGtdJY8l0CvsQi2v9AQQwp1jAhoFRLIAUzJ5BhbK6zsE6gsM83ClEJZSAOqYZtMOr_EqS6jJTDThd-ih1nIOk7bz-RJiq=w163-h92-k-no,Peppe Pizzeria Martyrs,"4,8",(17 823),20–30 €,Pizza,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGlIq5qEi02_GeKBUuX5w2ti4Uek7vh3bXLY3sdaU0FZMPS64cnGtdJY8l0CvsQi2v9AQQwp1jAhoFRLIAUzJ5BhbK6zsE6gsM83ClEJZSAOqYZtMOr_EqS6jJTDThd-ih1nIOk7bz-RJiq=w163-h92-k-no,Peppe Pizzeria Martyrs,"4,8",(17 823),20–30 €,Pizza,·
Augusto Pizzeria,,Pizza,10–20 €,10,20,15.0,pluie,4.7,686,"Pizza, note 4.7/5, 686 avis, prix 10–20 €",ouvert_probable,non renseigne,public,,,1,haute,0,,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHe9KQUtUIyqwf8e_PM8OCwFwKoIUvEttKXZZLja0sW7a9oJSTdhjyfOifXMsC6fyh4j5KcuSHP8RkRoNsccReVsqPl0008yaBNzTHxSHx-8Mf9zYHDMspfKfpCkBEVx9mIjWeu=w80-h100-k-no,Augusto Pizzeria,"4,7",(686),10–20 €,Pizza,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHe9KQUtUIyqwf8e_PM8OCwFwKoIUvEttKXZZLja0sW7a9oJSTdhjyfOifXMsC6fyh4j5KcuSHP8RkRoNsccReVsqPl0008yaBNzTHxSHx-8Mf9zYHDMspfKfpCkBEVx9mIjWeu=w80-h100-k-no,Augusto Pizzeria,"4,7",(686),10–20 €,Pizza,·
