nom;adresse_complete;ville;arrondissement_ou_departement;type;categorie_worldcup_2026;prix_indicatif;prix_moyen_eur_pers;budget_meteo;description_courte;statut;saisonnier;periode_worldcup_2026;acces;source_recommandation;source_url;source_statut_ouverture;date_verification_gpt;fiabilite_1_5;inclure_app;raison_exclusion_si_0;notes_gpt;lat;lng;avec_solo;avec_duo;avec_potos;avec_pro;pour_tranquillo;pour_allocco;pour_resto;pour_gastro;pour_incognito;pour_apero;pour_disco;pour_nocturne;pour_eau;pour_street_food;pour_guinguette;terrasse_hiver;pour_football;pour_worldcup_2026;fan_zone;ecran_geant;famille;gratuit_ou_entree_libre;reservation_recommandee;matchs_france_seulement;tous_matchs_ou_large_prog;officiel_sponsor;plein_air;sponsor_partenaire
La Cité Fertile;14 Avenue Édouard Vaillant, 93500 Pantin;Pantin;93;tiers-lieu / halle;fan zone alternative Grand Paris;gratuit sur réservation, conso 10-20 €;20;nuageux;Fan zone alternative avec écran géant sous la halle, bars, food et DJ sets.;ouvert / fan zone 11/06-19/07;événementiel;11 juin - 19 juillet 2026;gratuit mais réservation conseillée;Time Out 2026 + business ouvert;https://www.timeout.fr/paris/actualites/coupe-du-monde-onze-fan-zones-grand-paris-061026;business ouvert;2026-06-14;4;1;;;;;1;1;1;1;0;1;1;0;0;1;0;0;0;0;1;0;1;1;1;1;0;1;1;0;0;0;0;
Atelier des Lumières - Hisense Stadium Experience;38 Rue Saint-Maur, 75011 Paris;Paris;11e;projection immersive 360°;événement sponsor one-shot;gratuit sur inscription;0;pluie;Watch party immersive France-Sénégal avec projections 360°, cocktail et animations.;événement ponctuel 16/06/2026;événementiel;11 juin - 19 juillet 2026;inscription obligatoire;Billetterie officielle Hisense + Sortir à Paris;https://billetterie.hisense.fr/ | https://www.sortiraparis.com/loisirs/sport/articles/345409-coupe-du-monde-de-football-2026-france-senegal-projete-sur-les-murs-de-l-atelier-des-lumieres;billetterie officielle;2026-06-14;5;1;;;;;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;1;1;1;0;1;0;Hisense
Dopo Boulogne;63-64 Quai Georges Gorse, 92100 Boulogne-Billancourt;Boulogne-Billancourt;92;restaurant sportif / After Foot;restaurant foot;20-30 €;30;nuageux;Restaurant italien et sport bar porté par des figures d'After Foot, pour regarder les matchs avec vraie restauration.;ouvert / diffusion à confirmer match par match;non;toute l'année + programmation Coupe du Monde à vérifier;réservation conseillée;Sortir à Paris + business ouvert;https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/346824-world-cup-2026-where-to-watch-the-france-senegal-match-in-paris-bars-and-fan-zones-or-where-to-go;business ouvert;2026-06-14;4;1;;;;;0;1;1;1;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
Sports Bar & Lounge Disney Village;2 Avenue Paul Séramy, 77700 Chessy;Chessy;77;sports bar;sports bar IDF;10-20 €;20;nuageux;Sports bar immersif à Disney Village, ouvert au public, retransmissions sportives live.;ouvert;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation conseillée;Sortir à Paris + business ouvert;https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/346824-world-cup-2026-where-to-watch-the-france-senegal-match-in-paris-bars-and-fan-zones-or-where-to-go;business ouvert;2026-06-14;4;1;;;;;1;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;
Belushi's Gare du Nord;5 Rue de Dunkerque, 75010 Paris;Paris;10e;sports bar international;bar sportif;10-20 €;20;nuageux;Très gros sports bar avec 21 TVs/écrans cube, énorme capacité, tous sports et World Cup affichée.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Belushi's officiel + Paris je t'aime + Time Out;https://belushis.com/paris-gare-du-nord | https://belushis.com/where-to-watch-the-world-cup | https://parisjetaime.com/article/fan-zones-paris-a1996;business ouvert + source de recommandation;2026-06-14;5;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;0;1;0;1;0;0;1;1;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
Belushi's Paris Canal;159 Rue de Crimée, 75019 Paris;Paris;19e;sports bar international;bar sportif;10-20 €;20;nuageux;Adresse Canal de Belushi's, crowd international, giant screens, every game live selon l'enseigne.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Belushi's officiel + business ouvert;https://belushis.com/where-to-watch-the-world-cup | https://belushis.com/paris-canal;business ouvert + source de recommandation;2026-06-14;4;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
The French Flair;75 bis Boulevard de Clichy, 75009 Paris;Paris;9e;bar sportif / pub;bar sportif;10-20 €;20;nuageux;QG supporters à Place de Clichy, quatre écrans, ambiance sport puis DJ le week-end.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Paris je t'aime + Time Out + Privateaser;https://parisjetaime.com/article/fan-zones-paris-a1996 | https://www.timeout.fr/paris/bar/ou-regarder-un-match | https://www.privateaser.com/lieu/160-the-french-flair;business ouvert + source de recommandation;2026-06-14;5;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;0;1;0;1;0;0;1;1;1;1;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
The Moose;16 Rue des Quatre Vents, 75006 Paris;Paris;6e;bar sportif canadien;bar sportif;10-20 €;20;nuageux;Pub canadien historique, 14 écrans, poutine/burgers, réservation recommandée pour matchs.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Site officiel + Paris je t'aime + Visit Paris Region;https://www.mooseparis.com/en/ | https://parisjetaime.com/article/fan-zones-paris-a1996 | https://www.visitparisregion.com/en/the-moose;business ouvert + source de recommandation;2026-06-14;5;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;1;1;0;1;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
McBride's Irish Pub;54 Rue Saint-Denis, 75001 Paris;Paris;1er;irish pub sportif;bar/pub;10-20 €;20;nuageux;Pub irlandais central, vidéo-projecteur XXL, live sports, fermeture très tardive ven/sam.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Paris je t'aime + CraicMap + Instagram bar;https://parisjetaime.com/article/fan-zones-paris-a1996 | https://www.craicmap.ie/bars/mcbrides-irish-pub-paris;business ouvert + source de recommandation;2026-06-14;4;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;0;1;0;1;0;0;1;1;1;1;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
Rush Bar;32 Rue Saint-Sébastien, 75011 Paris;Paris;11e;pub sportif;bar/pub;10-20 €;20;nuageux;Ambiance de quartier, diffusion ligues européennes, pub fiable pour gros matchs.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Paris je t'aime + Time Out/LiberoGuide + business ouvert;https://parisjetaime.com/article/fan-zones-paris-a1996 | https://liberoguide.com/10-best-football-bars-in-paris/;business ouvert + source de recommandation;2026-06-14;4;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;0;1;0;1;0;0;1;1;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
The Long Hop;25 Rue Frédéric Sauton, 75005 Paris;Paris;5e;english pub sportif;bar/pub;10-20 €;20;nuageux;Pub sur deux niveaux avec nombreux écrans, foot/rugby/basket, forte ambiance anglophone.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Time Out + Sortir à Paris + business ouvert;https://www.timeout.fr/paris/bar/ou-regarder-un-match | https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/175503-bars-pubs-broadcast-matches-paris;business ouvert + source de recommandation;2026-06-14;5;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;0;1;0;1;0;0;1;1;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
The Bombardier;2 Place du Panthéon, 75005 Paris;Paris;5e;english pub sportif;bar/pub;10-20 €;20;nuageux;Pub anglais près du Panthéon, live sports sur TV HD, happy hour pintes dès 6 €.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Site officiel + Sortir à Paris + business ouvert;https://www.bombardierpub.fr/ | https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/175503-bars-pubs-broadcast-matches-paris;business ouvert + source de recommandation;2026-06-14;5;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
L'Atalante;26 Quai de la Marne, 75019 Paris;Paris;19e;bar à bières / canal;bar sportif;10-20 €;20;nuageux;Maxi terrasse au bord de l'eau, bières craft et diffusions sportives depuis l'extérieur.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Time Out + business ouvert;https://www.timeout.fr/paris/bar/ou-regarder-un-match;business ouvert + source de recommandation;2026-06-14;4;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;1;1;0;1;0;0;1;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
La Victoire;11 Rue de Lappe, 75011 Paris;Paris;11e;sports bar;bar sportif;20-30 €;25;nuageux;Nouveau sports bar rue de Lappe, déco sport, nombreux écrans, cuisine Afrique de l'Ouest.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Time Out + business ouvert;https://www.timeout.fr/paris/bar/ou-regarder-un-match;business ouvert + source de recommandation;2026-06-14;4;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
Brussels Beer Project Canal;47 bis Rue Bichat, 75010 Paris;Paris;10e;taproom craft beer;bar sportif;10-25 €;20;nuageux;Taproom Canal Saint-Martin, écran géant pour compétitions importantes, terrasse et 26 tireuses.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Time Out + business ouvert;https://www.timeout.fr/paris/bar/ou-regarder-un-match;business ouvert + source de recommandation;2026-06-14;4;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
Les Cuves de Fauve;64 Rue de Charonne, 75011 Paris;Paris;11e;brewpub;bar sportif;20-30 €;25;nuageux;Brewpub Fauve avec bières craft, assiettes de saison et diffusions de matchs.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Time Out + business ouvert;https://www.timeout.fr/paris/bar/ou-regarder-un-match;business ouvert + source de recommandation;2026-06-14;4;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
Paname Brewing Company;41 bis Quai de la Loire, 75019 Paris;Paris;19e;brewpub / canal;bar sportif;10-20 €;20;nuageux;Brewpub sur le bassin de la Villette, grande salle indus pour voir les matchs.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Time Out + business ouvert;https://www.timeout.fr/paris/bar/ou-regarder-un-match;business ouvert + source de recommandation;2026-06-14;4;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;1;1;0;1;0;0;1;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
KIEZ Biergarten Montmartre;24 Rue Vauvenargues, 75018 Paris;Paris;18e;biergarten allemand;bar sportif;10-20 €;18;nuageux;Biergarten allemand, salle avec écran les soirs de match, currywurst/bretzels.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Time Out + site officiel KIEZ;https://www.timeout.fr/paris/bar/ou-regarder-un-match | https://www.kiez.fr/biergartenmontmartre;business ouvert + source de recommandation;2026-06-14;4;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
Mez Beer;10 Rue Vandamme, 75014 Paris;Paris;14e;bar à bières bretonnes;bar sportif;10-20 €;20;nuageux;Bar à bières bretonnes, match projeté en salle, 15 pressions et nombreuses bouteilles.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Time Out + business ouvert;https://www.timeout.fr/paris/bar/ou-regarder-un-match;business ouvert + source de recommandation;2026-06-14;4;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;1;1;0;1;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
Octopussy;22 Rue de la Jonquière, 75017 Paris;Paris;17e;bar rock / sports bar;bar sportif;10-20 €;20;nuageux;Bar de quartier rock avec écran déroulé les jours de foot/rugby.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Time Out + business ouvert;https://www.timeout.fr/paris/bar/ou-regarder-un-match;business ouvert + source de recommandation;2026-06-14;4;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;1;1;0;1;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
Team Brothers;9 Rue Sorbier, 75020 Paris;Paris;20e;bistrot sportif / terrasse;bar sportif;10-20 €;18;nuageux;Bistrot de quartier recommandé par Time Out, grande terrasse et écran extérieur les soirs de match.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Time Out + réseaux sociaux du lieu;https://www.timeout.fr/paris/bar/ou-regarder-un-match | https://www.facebook.com/barteambrothers/;business ouvert + source de recommandation;2026-06-14;3;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
Le Bar Fondamental - Pigalle;6 Rue André Antoine, 75018 Paris;Paris;18e;bar à bières craft;bar sportif;10-20 €;18;nuageux;Bar craft avec grand écran en cas de match, ambiance débordante dans la rue de Pigalle.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Time Out + business ouvert;https://www.timeout.fr/paris/bar/ou-regarder-un-match;business ouvert + source de recommandation;2026-06-14;4;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;1;1;0;1;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
Le Nouvel Institut;1 Boulevard Saint-Germain, 75005 Paris;Paris;5e;brasserie sportive pas chère;bar/brasserie;1-10 €;12;pluie;"Brasserie bon marché, terrasse, matchs et billard; très bon tag pluie.";ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Sortir à Paris + business ouvert;https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/175503-bars-pubs-broadcast-matches-paris;business ouvert + source de recommandation;2026-06-14;4;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;0;1;1;1;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
Hurling Pub;8 Rue Descartes, 75005 Paris;Paris;5e;irish sports pub;bar/pub;10-20 €;18;nuageux;Irish pub du 5e, live sports et ambiance festive.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Sortir à Paris + business ouvert;https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/175503-bars-pubs-broadcast-matches-paris;business ouvert + source de recommandation;2026-06-14;4;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
The Green Goose;19 Rue des Boulets, 75011 Paris;Paris;11e;irish pub / tapas;bar/pub;10-20 €;20;nuageux;Irish pub convivial avec craft beers/tapas, diffuse ponctuellement les matchs.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Sortir à Paris + business ouvert;https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/346824-world-cup-2026-where-to-watch-the-france-senegal-match-in-paris-bars-and-fan-zones-or-where-to-go;business ouvert + source de recommandation;2026-06-14;4;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;1;1;0;1;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
Patrick's - Le Ballon Vert;33 Rue de Montreuil, 75011 Paris;Paris;11e;irish pub / bar sportif;bar/pub;20-30 €;25;nuageux;"Irish pub spacieux, QG sports les jours de match; une source bière est contradictoire donc vérifier avant gros match.";ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Sortir à Paris + Privateaser/Uniiti + business ouvert;https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/346824-world-cup-2026-where-to-watch-the-france-senegal-match-in-paris-bars-and-fan-zones-or-where-to-go | https://www.privateaser.com/lieu/5269-patricks-le-ballon-vert;business ouvert + source de recommandation;2026-06-14;3;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
