nom,adresse_complete,ville,arrondissement_ou_departement,type,categorie_surleau,prix_indicatif,prix_moyen_eur_pers,budget_meteo,description_courte,statut,saisonnier,periode_ouverture,acces,source_recommandation,source_url,source_statut_ouverture,date_verification_gpt,fiabilite_1_5,inclure_app,raison_exclusion_si_0,notes_gpt,lat,lng,avec_solo,avec_duo,avec_potos,avec_pro,pour_tranquillo,pour_allocco,pour_resto,pour_gastro,pour_incognito,pour_apero,pour_disco,pour_nocturne,pour_eau,pour_street_food,pour_guinguette,terrasse_hiver,sur_eau,bord_eau,peniche,croisiere,bateau_a_quai,canal,seine,marne,vue_tour_eiffel
Le Son de la Terre,"2 Port de Montebello, 75005 Paris",Paris,5e,restaurant / jazz club / bar,péniche jazz,20-60 €,40,nuageux,"Péniche face à Notre-Dame avec jazz club, restaurant et cocktails ; bon plan duo/pro.",ouvert / fiche établissement active,toute l’année,toute l’année,public / réservation conseillée,Fiche établissement + guides eau,https://www.lesondelaterre.fr/ | https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/191870-seine-side-terraces-in-paris-and-ile-de-france-the-water-s-edge-spots-in-2026,business ouvert,2026-06-14,5,1,,,,,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0
Nanna,"Port de Montebello, 75005 Paris",Paris,5e,bar littéraire / péniche,péniche calme,10-20 €,15,pluie,"Péniche-librairie/bar au pied de Notre-Dame, calme, littéraire, très bon tag solo/duo.",ouvert / fiche établissement active,toute l’année,toute l’année,public,Sortir à Paris + fiche établissement,https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/191870-seine-side-terraces-in-paris-and-ile-de-france-the-water-s-edge-spots-in-2026,business ouvert,2026-06-14,5,1,,,,,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0
La Nouvelle Seine,"Port de Montebello, 75005 Paris",Paris,5e,restaurant / bar / cabaret / comedy club,péniche spectacle,40-80 €,60,grand soleil,"Péniche face à Notre-Dame avec restaurant, terrasse-bar et spectacles/comedy club.",ouvert / fiche établissement active,toute l’année,toute l’année,public / billetterie spectacles,Sortir à Paris + fiche établissement,https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/191870-seine-side-terraces-in-paris-and-ile-de-france-the-water-s-edge-spots-in-2026 | https://www.lanouvelleseine.com/,business ouvert,2026-06-14,5,1,,,,,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0
Riviera Fuga,"10 Port des Invalides, 75007 Paris",Paris,7e,restaurant flottant italien-japonais,restaurant flottant,30-80 €,55,grand soleil,"Restaurant flottant design sur Seine, cuisine italienne-japonaise, très date/pro.",ouvert / fiche établissement active,toute l’année,toute l’année,public / réservation conseillée,Sortir à Paris + fiche établissement,https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/191870-seine-side-terraces-in-paris-and-ile-de-france-the-water-s-edge-spots-in-2026 | https://riviera-fuga.com/,business ouvert,2026-06-14,5,1,,,,,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0
Sena,"7 Voie Georges Pompidou, 75004 Paris",Paris,4e,restaurant / bar / terrasse,bord de Seine,20-30 €,25,nuageux,"Spot italien/festif avec grande terrasse au bord de Seine, pizza, spritz, pop-up.",ouvert / fiche établissement active,saisonnier fort,printemps-été surtout,public,Sortir à Paris + fiche établissement,https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/191870-seine-side-terraces-in-paris-and-ile-de-france-the-water-s-edge-spots-in-2026,business ouvert,2026-06-14,3,1,,Avis mitigés ; utile pour terrasse/ambiance mais pas tag gastro.,,,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
Flow Paris,"4 Port des Invalides, 75007 Paris",Paris,7e,quai / rooftop / club / bar,péniche + quai,20-50 €,35,nuageux,"Péniche/quai Paris Society avec terrasse, rooftop, club et horaires tardifs.",ouvert 7j/7 selon site officiel,toute l’année,toute l’année,public / réservation conseillée,Site officiel,https://flow-paris.paris/,site officiel,2026-06-14,5,1,,,,,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0
Rosa Bonheur sur Seine,"2 Port des Invalides, 75007 Paris",Paris,7e,bar / guinguette / tapas,péniche guinguette,10-30 €,25,nuageux,"Institution festive sur Seine : tapas, pizzas, ambiance guinguette et apéro en bande.",ouvert / fiche établissement active,toute l’année,toute l’année,public / file possible,Paris Secret + fiche établissement,https://parissecret.com/en/our-favourite-party-boats-for-summer-drinks/ | https://www.rosabonheur.fr/,business ouvert,2026-06-14,4,1,,,,,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0
Noti Plage,"6 Port de Suffren, 75015 Paris",Paris,15e,bar plage / tapas / DJ,péniche-plage,20-30 €,25,nuageux,"Terrasse plage face à la Tour Eiffel : sable, cocktails, tapas, DJ sets jusqu’à 2h.",ouvert / saison 2026 active,saisonnier,mai-septembre environ,public / réservation conseillée,Paris Secret + Sortir à Paris + fiche établissement,https://parissecret.com/en/our-favourite-party-boats-for-summer-drinks/ | https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/191870-seine-side-terraces-in-paris-and-ile-de-france-the-water-s-edge-spots-in-2026,business ouvert,2026-06-14,4,1,,,,,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1
Bonnotte Club,"Port de Suffren, 75007 Paris",Paris,7e,péniche-guinguette / street food,péniche guinguette,10-20 €,18,pluie,"Nouveau spot 400 m² entre bateau et guinguette, vue Eiffel, drinks et street-food abordables.",ouvert / saison 2026 active,saisonnier,printemps-été,public,Paris Secret + fiche établissement,https://parissecret.com/en/our-favourite-party-boats-for-summer-drinks/,business ouvert,2026-06-14,4,1,,,,,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1
Bal de la Marine,"Port de Suffren, 75007 Paris",Paris,7e,bar / beer garden / night club,péniche festive,20-40 €,30,nuageux,"Terrasse festive à Port de Suffren, cocktails, food, dancefloor et vue Eiffel.",ouvert / fiche établissement active,saisonnier fort,printemps-été surtout,public / résa conseillée,Fiche établissement + guides eau,https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/191870-seine-side-terraces-in-paris-and-ile-de-france-the-water-s-edge-spots-in-2026,business ouvert,2026-06-14,3,1,,"Note moyenne ; garder pour la vue/ambiance, pas pour reco premium.",,,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1
Annette K,"Port de Javel Bas, 75015 Paris",Paris,15e,bar / sport / events / péniche,péniche événementielle,10-30 €,20,pluie,"Péniche Javel orientée sport, musique live, DJ sets et grands temps forts saisonniers.",ouvert / fiche active mais avis contrastés,toute l’année + événements,toute l’année,public / selon programmation,Sortir à Paris + fiche établissement,https://www.sortiraparis.com/hotel-restaurant/bar-cafes/guides/74022-terrasses-sur-peniches-a-paris-et-en-ile-de-france-nos-bonnes-adresses-au-fil-de-l-eau-en-2026,business ouvert,2026-06-14,3,1,,"Avis Google faibles/contrastés ; à garder pour événements spécifiques, pas comme top reco.",,,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0
Quai Liberté,"Port de Javel Haut, 75015 Paris",Paris,15e,restaurant solidaire / péniche,péniche restaurant,10-50 €,30,nuageux,"Péniche-restaurant solidaire et événementielle, bonne option groupe/pro au bord de l’eau.",ouvert / fiche établissement active,toute l’année,toute l’année,public / réservation conseillée,TheFork + fiche établissement,https://www.thefork.fr/restaurants/paris-c415144/sur-une-peniche-t384,business ouvert,2026-06-14,5,1,,,,,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0
La Plage Parisienne,"Port de Javel Haut, 75015 Paris",Paris,15e,restaurant / terrasse / live music,bord de Seine,40-90 €,60,grand soleil,"Grande terrasse/restaurant au bord de Seine, ambiance vacances et vue Statue de la Liberté.",ouvert / fiche établissement active,toute l’année,toute l’année,public / réservation conseillée,Sortir à Paris + fiche établissement,https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/191870-seine-side-terraces-in-paris-and-ile-de-france-the-water-s-edge-spots-in-2026,business ouvert,2026-06-14,4,1,,,,,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
Le Capitaine Fracasse,"Île aux Cygnes, escale Pont de Bir-Hakeim, 75015 Paris",Paris,15e,dîner-croisière,croisière restaurant,100 €+,100,grand soleil,"Dîner-croisière classique sur Seine, romantique et très touristique.",ouvert / service selon horaires croisière,toute l’année,toute l’année,réservation obligatoire,TheFork + fiche établissement,https://www.thefork.fr/restaurants/paris-c415144/sur-une-peniche-t384 | https://www.fracasse.com/,business ouvert,2026-06-14,5,1,,,,,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1
Paris en Scène,"Île aux Cygnes, Pont de Bir-Hakeim, 75015 Paris",Paris,15e,dîner-croisière,croisière restaurant,50-90 €,70,grand soleil,"Dîner-croisière accessible par rapport aux offres premium, départ Bir-Hakeim.",ouvert / service selon horaires croisière,toute l’année,toute l’année,réservation obligatoire,TheFork + fiche établissement,https://www.thefork.fr/restaurants/paris-c415144/sur-une-peniche-t384 | https://www.paris-en-scene.com/,business ouvert,2026-06-14,4,1,,,,,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1
Le Calife,"Port des Saints-Pères, 75006 Paris",Paris,6e,restaurant-croisière,croisière restaurant premium,100 €+,120,grand soleil,"Bateau restaurant haut de gamme, ambiance romantique et croisière élégante sur Seine.",ouvert / service selon horaires croisière,toute l’année,toute l’année,réservation obligatoire,Fiche établissement + guides croisière,https://calife.com/,business ouvert,2026-06-14,5,1,,,,,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0
Ducasse sur Seine,"19 Port Debilly, 75116 Paris",Paris,16e,restaurant gastronomique flottant,croisière gastro,100 €+,150,grand soleil,"Bateau électrique gastronomique signé Ducasse, très premium/pro/date.",ouvert / service selon horaires,toute l’année,toute l’année,réservation obligatoire,Fiche établissement + guides eau,https://www.ducasse-seine.com/ | https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/191870-seine-side-terraces-in-paris-and-ile-de-france-the-water-s-edge-spots-in-2026,business ouvert,2026-06-14,5,1,,,,,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1
Bateaux-Mouches,"Pont de l’Alma, Port de la Conférence, 75008 Paris",Paris,8e,croisière / dîner-croisière,croisière touristique,croisière simple ou repas 15-120 €,40,nuageux,"Grand classique des croisières Seine, options promenade et dîner selon formule.",ouvert / rotations quotidiennes,toute l’année,toute l’année,billetterie,Fiche établissement officielle,https://www.bateaux-mouches.fr/,business ouvert,2026-06-14,5,1,,,,,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1
Bateaux Parisiens,"Port de la Bourdonnais, 75007 Paris",Paris,7e,croisière / dîner-croisière,croisière touristique,croisière simple ou repas 17-120 €,45,grand soleil,"Croisières depuis la Tour Eiffel, déjeuner/dîner et promenade touristique.",ouvert / rotations quotidiennes,toute l’année,toute l’année,billetterie,Fiche établissement officielle,https://www.bateauxparisiens.com/,business ouvert,2026-06-14,5,1,,,,,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1
Eiffel Croisières - Péniche Ivoire,"Pont Alexandre III, Port des Invalides rive gauche, 75007 Paris",Paris,7e,croisière bistronomique,croisière restaurant,40-90 €,65,grand soleil,"Croisière bistronomique sur la Péniche Ivoire, départ Pont Alexandre III.",ouvert / service selon réservation,toute l’année,toute l’année,réservation obligatoire,Fiche établissement,https://www.eiffel-croisieres.com/,business ouvert,2026-06-14,4,1,,,,,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1
Le Bateau Apéro,"Port de Grenelle, côté Pont de Bir-Hakeim, 75015 Paris",Paris,15e,croisière apéro / guinguette fluviale,croisière apéro,25-45 €,35,nuageux,"Croisière apéro du lundi soir : embarquement, navigation puis soirée à quai jusqu’à 2h.",ouvert du 04/05 au 21/09/2026,saisonnier,4 mai - 21 septembre 2026,billetterie / réservation,Site officiel,https://www.lebateauapero.fr/guinguette-fluviale,site officiel,2026-06-14,5,1,,,,,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1
FFA sur l’eau,"Entre Hôtel de Ville et Saint-Paul, quais de Seine, 75004 Paris",Paris,4e,péniche-guinguette / apéro,péniche guinguette,15-30 €,25,nuageux,"Péniche-guinguette de la Fédération Française de l’Apéritif : terroir, bières artisanales, DJ sets.",ouvert du 01/04 au 30/09/2026,saisonnier,1 avril - 30 septembre 2026,public / vérifier réservation,Le Bonbon + Sortir à Paris,https://www.lebonbon.fr/paris/actu/nouvelle-peniche-guinguette-aperos-seine/ | https://www.sortiraparis.com/hotel-restaurant/bar-cafes/guides/74022-terrasses-sur-peniches-a-paris-et-en-ile-de-france-nos-bonnes-adresses-au-fil-de-l-eau-en-2026,article 2026,2026-06-14,4,1,,,,,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0
L’Instant sur Seine - 5e,"Péniche face à Notre-Dame, Port de Montebello, 75005 Paris",Paris,5e,terrasse éphémère / péniche,péniche apéro,15-30 €,25,nuageux,"Terrasse à ciel ouvert face à Notre-Dame : spritz, vins et paniers gourmands.",ouvert dès le 13/05/2026,saisonnier,à partir du 13 mai 2026,public / réservation Privateaser,Paris Seine,https://www.parisseine.com/croisieres-privatives/les-terrasses-de-paris-seine/,site Paris Seine,2026-06-14,4,1,,,,,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0
L’Instant sur Seine - 16e,"2 Port Debilly, 75016 Paris",Paris,16e,terrasse éphémère / péniche,péniche apéro,15-30 €,25,nuageux,"Terrasse éphémère face à la Tour Eiffel : cocktails, vins, planches, 16h-minuit.",ouverture annoncée à partir du 22/07/2026,saisonnier,22 juillet - 30 août 2026,public / réservation Privateaser,Paris Seine + Paris Secret,https://www.parisseine.com/croisieres-privatives/les-terrasses-de-paris-seine/ | https://parissecret.com/en/our-favourite-party-boats-for-summer-drinks/,site Paris Seine,2026-06-14,4,1,,Pas ouvert au 14/06 : à activer dans l’app à partir du 22/07.,,,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
PLAT/FORM,"14 Port de la Gare, 75013 Paris",Paris,13e,bistro / terrasse / bar / DJ,terrasse bord de Seine,20-30 €,25,nuageux,"Terrasse festive au pied de la BnF : bistro, barbecue week-end, DJ sets et bord de Seine.",ouvert / saison 2026 active,saisonnier fort,printemps-été 2026,public,Sortir à Paris + fiche établissement,https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/191870-seine-side-terraces-in-paris-and-ile-de-france-the-water-s-edge-spots-in-2026,business ouvert,2026-06-14,4,1,,,,,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0
Le Mazette,"69 Port de la Rapée, 75012 Paris",Paris,12e,bar / club / live / restaurant,bateau festif,10-30 €,25,nuageux,"Bateau festif avec terrasse, rooftop, club et programmation musicale.",ouvert / fiche établissement active,toute l’année,toute l’année,public / billetterie selon soirées,Sortir à Paris + fiche établissement,https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/191870-seine-side-terraces-in-paris-and-ile-de-france-the-water-s-edge-spots-in-2026 | https://lemazette.com/,business ouvert,2026-06-14,4,1,,,,,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0
River’s King,"4 Quai Saint-Bernard, 75005 Paris",Paris,5e,bateau événementiel / bar,péniche événementielle,20-50 €,35,nuageux,"Bateau événementiel sur Seine, plutôt privatisation / soirées / groupes.",ouvert / activité événementielle,toute l’année,selon privatisations,événementiel / réservation,Fiche établissement,https://www.riversking.fr/,business actif,2026-06-14,3,1,,"À privilégier pour groupes/pro, moins pour sortie spontanée.",,,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0
Yachts de Paris,"Port Henri IV, 75004 Paris",Paris,4e,yacht / événementiel / restaurant privé,bateau événementiel premium,100 €+,150,grand soleil,"Offre premium de yachts et salons flottants, plutôt pro/privatisation que sortie spontanée.",ouvert / activité événementielle,toute l’année,toute l’année,privatisation / réservation,Fiche établissement officielle,https://www.yachtsdeparis.fr/,business actif,2026-06-14,4,1,,Pas une reco grand public : tag pro seulement.,,,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
Polpo Plage / Polpo Brasserie,"47 Quai Charles Pasqua, 92300 Levallois-Perret",Levallois-Perret,92,brasserie / terrasse plage / bateaux électriques,bord de Seine + plage,30-50 €,40,nuageux,"Grande brasserie en bord de Seine avec terrasse plage, bar et balades en bateaux électriques en saison.",ouvert / saison 2026 active,saisonnier + restaurant année,été 2026 pour Polpo Plage,public / réservation conseillée,Sortir à Paris + fiche établissement,https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/191870-seine-side-terraces-in-paris-and-ile-de-france-the-water-s-edge-spots-in-2026,business ouvert,2026-06-14,5,1,,,,,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
Brasserie Aqua,"5 Quai Marcel Dassault, 92150 Suresnes",Suresnes,92,restaurant / terrasse sur péniche,péniche restaurant,30-40 €,35,nuageux,Restaurant italien chic sur péniche avec grande terrasse et vue Seine/Suresnes.,ouvert / 7j selon guide et fiche,toute l’année,toute l’année,public / réservation conseillée,Sortir à Paris + fiche établissement,https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/191870-seine-side-terraces-in-paris-and-ile-de-france-the-water-s-edge-spots-in-2026,business ouvert,2026-06-14,4,1,,,,,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0
River Café,"146 Quai de Stalingrad, 92130 Issy-les-Moulineaux",Issy-les-Moulineaux,92,restaurant / bar / terrasse,bord de Seine,40-80 €,60,grand soleil,"Restaurant péniche/terrasse en bord de Seine, classique pour déjeuner/dîner au calme.",ouvert / fiche établissement active,toute l’année,toute l’année,public / réservation conseillée,Fiche établissement,https://www.rivercafe.fr/,business ouvert,2026-06-14,4,1,,,,,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0
Maison Jaune,"52 Quai du Point du Jour, 92100 Boulogne-Billancourt",Boulogne-Billancourt,92,restaurant / péniche / terrasse,péniche restaurant,40-80 €,60,grand soleil,"Péniche-restaurant à Boulogne, guinguette élégante et terrasse sur Seine.",ouvert / fiche établissement active,toute l’année,toute l’année,public / réservation conseillée,Sortir à Paris + fiche établissement,https://www.sortiraparis.com/hotel-restaurant/bar-cafes/guides/74022-terrasses-sur-peniches-a-paris-et-en-ile-de-france-nos-bonnes-adresses-au-fil-de-l-eau-en-2026,business ouvert,2026-06-14,4,1,,,,,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0
Rosa Bonheur à l’Ouest,"20 Quai du Docteur Dervaux, 92600 Asnières-sur-Seine",Asnières-sur-Seine,92,bar / guinguette / péniche,péniche guinguette,20-30 €,25,nuageux,Version ouest de Rosa Bonheur : péniche bucolique et festive en bord de Seine.,ouvert / fiche établissement active,toute l’année,toute l’année,public / file possible,Sortir à Paris + fiche établissement,https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/191870-seine-side-terraces-in-paris-and-ile-de-france-the-water-s-edge-spots-in-2026,business ouvert,2026-06-14,4,1,,,,,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0
