nom,categorie_principale,adresse_complete,arrondissement,ville,petite_couronne,type,prix_eur_pers,prix_moyen_eur,budget_meteo,description_courte,statut,saisonnier,acces,lat,lng,inclure_app,avec_solo,avec_duo,avec_potos,avec_pro,pour_rooftop,pour_tranquillo,pour_allocco,pour_resto,pour_gastro,pour_incognito,pour_apero,pour_disco,pour_eau,pour_nocturne,pour_terrasse_hiver,pour_guinguette,pour_street_food,nationalite_street_food,budget_grand_soleil,budget_nuageux,budget_pluie,fiabilite,reco_sources,notes_app,source_url,date_verification
10ème Ciel - Rooftop Bar Paris,rooftop,"18 Av. de Suffren, 75015 Paris",15,Paris,0,bar rooftop pop-up / vue Tour Eiffel,20-70 €,45,nuageux,Rooftop pop-up face a la Tour Eiffel au Pullman Paris Tour Eiffel.,temporairement ferme / pop-up,saisonnier / pop-up,public quand actif,48.856726,2.290269,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,,0,1,0,a verifier,The Rooftop Guide / TimeOut / site officiel selon ligne,Business listing indique temporairement fermé; ne pas afficher tant que non réouvert.,https://www.therooftopguide.com/rooftop-bars-in-paris.html,2026-06-14
ILVOLO Bar Rooftop,rooftop,"257 Rue de Vaugirard, 7e étage, 75015 Paris",15,Paris,0,bar / restaurant italien / rooftop,10-20 €,18,pluie,"Rooftop italien du Novotel Vaugirard, bon afterwork avec vue Tour Eiffel.",ouvert,toute l'annee / selon meteo,public / reservation conseillee,48.840341,2.296442,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,,0,0,1,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://www.ilvolo-paris.com/,2026-06-14
Villa M Rooftop,rooftop,"24-30 Bd Pasteur, 75015 Paris",15,Paris,0,restaurant / bar rooftop vegetal,25-50 €,35,nuageux,"Rooftop végétal de Villa M, vue Eiffel, Montparnasse et Invalides, cadre confidentiel.",ouvert saison,mai a septembre / selon meteo,public / reservation conseillee,,,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,,0,1,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://www.hotelvillam-paris15.com/restaurant-rooftop,2026-06-14
Auteuil Brasserie,rooftop,"78 Rue d'Auteuil, 75016 Paris",16,Paris,0,brasserie / terrasse rooftop vegetalisee,20-60 €,40,nuageux,"Grande brasserie végétalisée avec terrasse en hauteur, plus conviviale que skybar.",ouvert,toute l'annee,public / reservation conseillee,,,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,,0,1,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://auteuil.paris/,2026-06-14
Brach Rooftop,rooftop,"1-7 Rue Jean Richepin, 75016 Paris",16,Paris,0,bar rooftop / hotel luxe,30-40 €,35,nuageux,"Rooftop-jardin du Brach, vue Tour Eiffel, potager et ambiance hôtel design.",ouvert,toute l'annee / selon meteo,public / clients hotel / reservation conseillee,48.858650,2.276450,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,,0,1,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://brachparis.com/,2026-06-14
Eylau Paris Rooftop Bar,rooftop,"16 Av. d'Eylau, 75116 Paris",16,Paris,0,bar rooftop / hotel,10-60 €,35,nuageux,"Rooftop du Canopy by Hilton Paris Trocadéro, vue Eiffel, ambiance calme et chic.",ouvert / a verifier horaires,toute l'annee / selon meteo,public / reservation conseillee,48.864677,2.282012,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,,0,1,0,a verifier,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://www.hilton.com/en/hotels/parptpy-canopy-paris-trocadero/dining/,2026-06-14
Hôtel Raphael Rooftop,rooftop,"17 Av. Kléber, 75116 Paris",16,Paris,0,bar / restaurant rooftop hotel luxe,40-90 €,65,grand soleil,"Rooftop classique et confidentiel de l'hôtel Raphael, ouvert d'avril a septembre.",ouvert saison / a verifier,avril a septembre,public / reservation conseillee,,,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,,1,0,0,a verifier,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://www.raphael-hotel.com/en/,2026-06-14
L'Oiseau Blanc,rooftop,"19 Av. Kléber, 75116 Paris",16,Paris,0,restaurant gastronomique / rooftop palace,100 €+,140,grand soleil,"Restaurant rooftop du Peninsula, gastronomie, vue Tour Eiffel, très premium.",ouvert,toute l'annee,public / reservation indispensable,48.870660,2.287961,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,,1,0,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://www.peninsula.com/en/paris/hotel-fine-dining/loiseau-blanc-rooftop-restaurant,2026-06-14
La Suite Girafe,rooftop,"1 Pl. du Trocadéro et du 11 Novembre, 75016 Paris",16,Paris,0,restaurant / terrasse rooftop luxe,80-140 €,100,grand soleil,"Adresse Paris Society au Palais de Chaillot, vue Tour Eiffel, cuisine chic.",ouvert,toute l'annee / selon meteo,public / reservation indispensable,,,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,,1,0,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://girafe-restaurant.com/la-suite/,2026-06-14
Restaurant Toit Terrasse Molitor,rooftop,"6 Av. de la Porte Molitor, 75016 Paris",16,Paris,0,restaurant rooftop / hotel piscine,30-90 €,60,grand soleil,"Rooftop de Molitor, ambiance piscine mythique, ouest parisien et beaux jours.",ouvert,toute l'annee / selon meteo,public / reservation conseillee,48.844409,2.252352,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,,1,0,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://molitorparis.com/,2026-06-14
Zoku Paris - The Living Kitchen,rooftop,"48 Av. de la Porte de Clichy, Floor 8, 75017 Paris",17,Paris,0,rooftop restaurant / bar / coworking,20-40 €,30,nuageux,"Rooftop social et lumineux face au Tribunal de Paris, bon pour coworking, lunch et afterwork.",ouvert,toute l'annee,public / reservation conseillee,,,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,,0,1,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://livezoku.com/paris/rooftop-bar-in-paris/,2026-06-14
Bar a Bulles,rooftop,"4 Cité Véron, 75018 Paris",18,Paris,0,bar / brunch / terrasse cachee,10-20 €,15,pluie,"Terrasse cachée de la Machine du Moulin Rouge, bohème, culturelle et accessible.",ouvert,toute l'annee / selon meteo,public,48.884330,2.333760,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,,0,0,1,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://www.lamachinedumoulinrouge.com/le-bar-a-bulles/,2026-06-14
Coeur Sacre,rooftop,"5 Rue Saint-Éleuthère, 75018 Paris",18,Paris,0,restaurant / bar / rooftop Montmartre,10-50 €,30,nuageux,"Lieu en hauteur à Montmartre, vue Sacré-Coeur et Tour Eiffel, plutôt journée et apéro.",ouvert,toute l'annee,public,,,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,,0,1,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://paris-society-events.com/salles/coeur-sacre/,2026-06-14
Plantation Paris,rooftop,"37 Rue des Cheminots, 75018 Paris",18,Paris,0,ferme urbaine / rooftop evenementiel,10-30 €,20,pluie,"Immense ferme urbaine en toiture, alternatif, events, week-end et ambiance outdoor.",ouvert saison / a verifier,saisonnier,public selon programmation,,,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,,0,0,1,a verifier,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://www.plantation.paris/,2026-06-14
Station M by Maison Montmartre,rooftop,"32 Av. de la Porte de Montmartre, 75018 Paris",18,Paris,0,restaurant / bar rooftop hotel,20-30 €,25,nuageux,"Rooftop d'hôtel au nord de Montmartre, bon pour brunch, apéro et groupe calme.",ouvert,toute l'annee,public,,,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,,0,1,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://hotelmaisonmontmartre.com/en/page/paris-rooftop-bar-restaurant.38219.html,2026-06-14
Terrass'' Rooftop Bar,rooftop,"12 Rue Joseph de Maistre, 75018 Paris",18,Paris,0,bar rooftop / hotel,10-50 €,30,nuageux,"Rooftop de Montmartre avec vue Eiffel et Paris, classique pour coucher de soleil.",ouvert,toute l'annee,public / reservation conseillee,48.885675,2.328959,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,,0,1,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://www.terrass-hotel.com/,2026-06-14
Le Toit de La Bellevilloise,rooftop,"19-21 Rue Boyer, 75020 Paris",20,Paris,0,bar rooftop / culturel,10-30 €,20,pluie,"Rooftop populaire et culturel de Belleville/Ménilmontant, bon pour potes et apéro.",ouvert,saisonnier / selon meteo,public,48.872182,2.386794,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,,0,0,1,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://www.labellevilloise.com/,2026-06-14
Mama Shelter Paris East Rooftop,rooftop,"109 Rue de Bagnolet, 75020 Paris",20,Paris,0,bar / restaurant rooftop hotel,15-35 €,25,nuageux,"Rooftop détendu avec esprit groupe, babyfoot/ping-pong selon saison, pas le plus panoramique.",ouvert / rooftop selon saison,saisonnier / selon meteo,public / reservation conseillee,48.858705,2.390287,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,,0,1,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://mamashelter.com/paris-east/eat-drink/,2026-06-14
Skyline Paris Lounge & Bar,rooftop,"Hotel Meliá Paris La Défense, 4 Espl. du Général de Gaulle, 92400 Courbevoie",,Courbevoie,1,bar rooftop / hotel / skyline,10-50 €,30,nuageux,"Rooftop Grand Paris à La Défense, vue skyline et Paris, utile si tu inclus petite couronne.",ouvert,toute l'annee / selon meteo,public / reservation conseillee,48.889372,2.244494,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,,0,1,0,bonne,The Rooftop Guide / TimeOut / site officiel selon ligne,,https://www.melia.com/en/hotels/france/paris/melia-paris-la-defense/restaurants/skyline-paris-lounge-bar,2026-06-14
Little Red Door,speakeasy / cocktail,"60 Rue Charlot, 75003 Paris",03,Paris,0,bar a cocktails / speakeasy,10-50 €,30,nuageux,"Bar caché iconique du Marais, signature cocktails, ambiance confidentielle.",ouvert,toute l'annee,public,,,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,,0,1,0,bonne,TimeOut speakeasy / 50 Best Discovery / fiche business,,https://www.lrdparis.com/,2026-06-14
Candelaria,speakeasy / taco bar,"52 Rue de Saintonge, 75003 Paris",03,Paris,0,taqueria / bar caché,20-30 €,25,nuageux,"Taqueria mexicaine avec bar caché derrière, parfait incognito + tacos.",ouvert,toute l'annee,public,,,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,mexicain / tacos,0,1,0,bonne,TimeOut speakeasy / 50 Best Discovery / fiche business,,https://www.candelariaparis.com/,2026-06-14
Moonshiner,speakeasy / cocktail,"5 Rue Sedaine, 75011 Paris",11,Paris,0,bar a cocktails / speakeasy,10-20 €,18,pluie,"Speakeasy accessible par une chambre froide derrière une pizzeria, décor prohibition.",ouvert,toute l'annee,public,,,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,,0,0,1,bonne,TimeOut speakeasy / Petit Futé / site officiel / fiche business,,https://moonshinerbar.fr/,2026-06-14
Lavomatic,speakeasy / cocktail,"30 Rue René Boulanger, 75010 Paris",10,Paris,0,bar a cocktails / speakeasy,10-20 €,18,pluie,"Bar caché derrière une laverie, très concept, bon tag incognito.",ouvert,toute l'annee,public,,,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,,0,0,1,bonne,TimeOut speakeasy / fiche business,,https://www.timeout.fr/paris/bars/les-meilleurs-speakeasys-de-paris,2026-06-14
L'Epicier,speakeasy / cocktail,"24 Rue Notre Dame de Nazareth, 75003 Paris",03,Paris,0,bar a cocktails / speakeasy,10-20 €,18,pluie,"Entrée façon épicerie de quartier, bar caché compact et très app-friendly.",ouvert,toute l'annee,public,,,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,,0,0,1,bonne,Petit Futé hidden bars / fiche business,,https://www.lepicier.paris/,2026-06-14
No Entry,speakeasy / cocktail,"20 bis Rue de Douai, 75009 Paris",09,Paris,0,bar a cocktails caché,10-20 €,18,pluie,"Bar caché sous Pink Mamma, entrée discrète, bon spot duo/potos.",ouvert,toute l'annee,public,,,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,,0,0,1,bonne,fiches guides speakeasy / fiche business,,https://www.bigmammagroup.com/fr/trattorias/no-entry,2026-06-14
La Mezcaleria Paris,speakeasy / mezcal bar,"13 Bd du Temple, 75003 Paris",03,Paris,0,bar a cocktails / mezcaleria,10-20 €,18,pluie,"Bar caché de l'hôtel 1K, spécialisé mezcal et vibe latine.",ouvert,toute l'annee,public,,,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,,0,0,1,bonne,fiche business / guides bars cachés,,https://www.1k-paris.com/la-mezcaleria/,2026-06-14
Experimental Cocktail Club,cocktail / nocturne,"37 Rue Saint-Sauveur, 75002 Paris",02,Paris,0,bar a cocktails,10-20 €,18,pluie,"Institution cocktail parisienne, ouvert tard le week-end.",ouvert,toute l'annee,public,,,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,,0,0,1,bonne,TimeOut cocktails / fiche business,,https://www.experimentalcocktailclub.com/paris/,2026-06-14
